Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2025,58,56,GoGo,Joint,120000,1100,0,120000,0,120000,0,0,42500,0,42500,31500,390000,168238,1046750,1604988,0
2026,59,57,GoGo,Joint,124200,1139,0,124200,0,124200,0,0,43988,0,43988,32602,276432,228142,1062928,1567502,0
2027,60,58,GoGo,Joint,128547,1178,0,128547,0,128547,0,0,45527,0,45527,33744,153800,294194,1078445,1526440,0
2028,61,59,GoGo,Joint,133046,1220,0,133046,0,133046,0,0,47121,0,47121,34925,21584,366913,1093204,1481702,0
2029,62,60,GoGo,Joint,137703,4366,0,137703,32500,21584,83618,0,48770,0,76395,36147,0,356969,1107101,1464070,0
2030,63,61,Slow,Joint,118769,4535,0,118769,33638,0,85131,0,50477,0,79069,37412,0,346489,1120021,1466510,0
2031,64,62,Slow,Joint,122926,5424,0,122926,41815,0,81111,0,52243,0,87786,38722,0,341443,1131845,1473288,0
2032,65,63,Slow,Joint,127228,0,0,127228,43278,0,83950,0,0,0,0,40077,0,276805,1199755,1476561,0
2033,66,64,Slow,Joint,131681,0,0,131681,44793,0,86888,0,0,0,0,41479,0,204161,1271741,1475902,0
2034,67,65,Slow,Joint,136290,0,0,136290,46361,0,89929,0,0,0,0,42931,0,122800,1348045,1470845,0
2035,68,66,Slow,Joint,141060,0,0,141060,47983,0,93076,0,0,0,0,44434,0,31953,1428928,1460880,0
2036,69,67,Slow,Joint,145997,6809,0,145997,49663,0,31953,64382,0,0,106595,45989,0,0,1446419,1446419,0
2037,70,68,Slow,Joint,151107,11182,0,151107,51401,0,0,99706,0,0,143397,47599,0,0,1427516,1427516,0
2038,71,69,Slow,Joint,156396,11919,0,156396,53200,0,0,103195,0,0,148416,49265,0,0,1403780,1403780,0
2039,72,70,Slow,Joint,161869,12683,0,161869,55062,0,0,106807,0,0,153610,50989,0,0,1374791,1374791,0
2040,73,71,NoGo,Joint,142405,9266,0,142405,56989,0,0,33536,0,51879,133856,52773,0,0,1366738,1366738,0
2041,74,72,NoGo,Joint,147389,9606,0,147389,58984,0,0,34807,0,53598,138541,54621,0,0,1355033,1355033,0
2042,75,73,NoGo,Joint,152547,9959,0,152547,61048,0,0,36416,0,55083,143390,56532,0,0,1339346,1339346,0
2043,76,74,NoGo,Survivor,110521,5062,0,110521,52608,0,0,57913,0,0,102629,58511,0,0,1358319,1358319,0
2044,77,75,NoGo,Survivor,114389,5248,0,114389,54449,0,0,59940,0,0,106222,60559,0,0,1376282,1376282,0
2045,78,76,NoGo,Survivor,118392,5450,0,118392,56355,0,0,62038,0,0,109939,62678,0,0,1393099,1393099,0
2046,79,77,NoGo,Survivor,122536,5814,0,122536,58327,0,0,64209,0,0,113787,64872,0,0,1408623,1408623,0
2047,80,78,NoGo,Survivor,126825,6191,0,126825,60368,0,0,66457,0,0,117770,67143,0,0,1422696,1422696,0
2048,81,79,NoGo,Survivor,131264,6581,0,131264,62481,0,0,68783,0,0,121892,69493,0,0,1435148,1435148,0
2049,82,80,NoGo,Survivor,135858,6984,0,135858,64668,0,0,71190,0,0,126158,71925,0,0,1445796,1445796,0
2050,83,81,NoGo,Survivor,140613,7402,0,140613,66932,0,0,73682,0,0,130573,74442,0,0,1454441,1454441,0
2051,84,82,NoGo,Survivor,145535,7834,0,145535,69274,0,0,76260,0,0,135143,77048,0,0,1460872,1460872,0
2052,85,83,NoGo,Survivor,150628,8281,0,150628,71699,0,0,78930,0,0,139873,79744,0,0,1464859,1464859,0
2053,86,84,NoGo,Survivor,155900,8744,0,155900,74208,0,0,81692,0,0,144769,82535,0,0,1466157,1466157,0
2054,87,85,NoGo,Survivor,161357,9224,0,161357,76805,0,0,84551,0,0,149836,85424,0,0,1464502,1464502,0
