Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2025,58,56,GoGo,Joint,170000,20576,0,170000,0,0,0,170000,0,0,170000,31500,514800,122550,911600,1548950,0
2026,59,57,GoGo,Joint,175950,21642,0,175950,0,0,0,175950,0,0,175950,32602,535392,131741,779789,1446922,0
2027,60,58,GoGo,Joint,182108,22746,0,182108,0,0,0,182108,0,0,182108,33744,556808,141622,633542,1331971,0
2028,61,59,GoGo,Joint,188482,23889,0,188482,0,0,0,188482,0,0,188482,34925,579080,152243,471763,1203087,0
2029,62,60,GoGo,Joint,195079,23999,0,195079,32500,0,0,162579,0,0,190204,36147,602243,163662,327735,1093640,0
2030,63,61,Slow,Joint,118769,8693,0,118769,33638,0,0,85131,0,0,113723,37412,626333,175936,257160,1059430,0
2031,64,62,Slow,Joint,122926,8888,0,122926,41815,0,0,81111,0,0,116653,38722,651386,189132,186613,1027130,0
2032,65,63,Slow,Joint,127228,9215,0,127228,43278,0,0,83950,0,0,120736,40077,677442,203316,108823,989581,0
2033,66,64,Slow,Joint,131681,9554,0,131681,44793,0,0,86888,0,0,124962,41479,704539,218565,23251,946356,0
2034,67,65,Slow,Joint,136290,0,0,136290,46361,66678,0,23251,0,0,37318,42931,663376,234958,0,898334,0
2035,68,66,Slow,Joint,141060,0,0,141060,47983,93076,0,0,0,0,0,44434,593112,252579,0,845691,0
2036,69,67,Slow,Joint,145997,0,0,145997,49663,96334,0,0,0,0,0,45989,516649,271523,0,788171,0
2037,70,68,Slow,Joint,151107,0,0,151107,51401,99706,0,0,0,0,0,47599,433621,291887,0,725508,0
2038,71,69,Slow,Joint,156396,0,0,156396,53200,103195,0,0,0,0,0,49265,343642,313779,0,657421,0
2039,72,70,Slow,Joint,161869,0,0,161869,55062,106807,0,0,0,0,0,50989,246308,337312,0,583620,0
2040,73,71,NoGo,Joint,142405,0,0,142405,56989,85415,0,0,0,0,0,52773,167328,362610,0,529939,0
2041,74,72,NoGo,Joint,147389,0,0,147389,58984,88405,0,0,0,0,0,54621,82080,389806,0,471887,0
2042,75,73,NoGo,Joint,152547,0,0,152547,61048,82080,9419,0,0,0,0,56532,0,408917,0,408917,0
2043,76,74,NoGo,Survivor,110521,0,0,110521,52608,0,57913,0,0,0,1304,58511,0,377329,0,377329,0
2044,77,75,NoGo,Survivor,114389,0,0,114389,54449,0,59940,0,0,0,2224,60559,0,341193,0,341193,0
2045,78,76,NoGo,Survivor,118392,0,0,118392,56355,0,62038,0,0,0,3177,62678,0,300092,0,300092,0
2046,79,77,NoGo,Survivor,122536,0,0,122536,58327,0,64209,0,0,0,4163,64872,0,253574,0,253574,0
2047,80,78,NoGo,Survivor,126825,0,0,126825,60368,0,66457,0,0,0,5184,67143,0,201151,0,201151,0
2048,81,79,NoGo,Survivor,131264,0,0,131264,62481,0,68783,0,0,0,6241,69493,0,142296,0,142296,0
2049,82,80,NoGo,Survivor,135858,0,0,135858,64668,0,71190,0,0,0,7334,71925,0,76439,0,76439,0
2050,83,81,NoGo,Survivor,140613,0,0,140613,66932,0,73682,0,0,0,8466,74442,0,2965,0,2965,0
2051,84,82,NoGo,Survivor,145535,0,0,145535,69274,0,2965,0,0,0,9542,77048,0,0,0,0,73296
2052,85,83,NoGo,Survivor,150628,0,0,150628,71699,0,0,0,0,0,10572,79744,0,0,0,0,78930
2053,86,84,NoGo,Survivor,155900,0,0,155900,74208,0,0,0,0,0,11638,82535,0,0,0,0,81692
2054,87,85,NoGo,Survivor,161357,0,0,161357,76805,0,0,0,0,0,12742,85424,0,0,0,0,84551
