Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2033,66,64,GoGo,Joint,120000,9350,0,120000,44793,0,0,75207,0,0,113281,31500,514800,122550,1012081,1649431,0
2034,67,65,GoGo,Joint,124200,9693,0,124200,46361,0,0,77839,0,0,117246,32602,535392,131741,990296,1657429,0
2035,68,66,GoGo,Joint,128547,10049,0,128547,47983,0,0,80564,0,0,121349,33744,556808,141622,964316,1662746,0
2036,69,67,GoGo,Joint,133046,10417,0,133046,49663,0,0,83383,0,0,125597,34925,579080,152243,933789,1665113,0
2037,70,68,GoGo,Joint,137703,10797,0,137703,51401,0,0,86302,0,0,129993,36147,602243,163662,898337,1664242,0
2038,71,69,Slow,Joint,118769,8341,0,118769,53200,0,0,65569,0,0,110789,37412,626333,175936,882734,1685004,0
2039,72,70,Slow,Joint,122926,8649,0,122926,55062,0,0,67863,0,0,114666,38722,651386,189132,863763,1704281,0
2040,73,71,Slow,Joint,127228,8968,0,127228,56989,0,0,37644,0,32595,118680,40077,677442,203316,841136,1721894,0
2041,74,72,Slow,Joint,131681,9298,0,131681,58984,0,0,39711,0,32986,122833,41479,704539,218565,814545,1737650,0
2042,75,73,Slow,Joint,136290,9640,0,136290,61048,0,0,42130,0,33112,127132,42931,732721,234958,783662,1751341,0
2043,76,74,Slow,Survivor,98742,4973,0,98742,52608,0,0,46134,0,0,87807,44434,762030,252579,781779,1796389,0
2044,77,75,Slow,Survivor,102198,5238,0,102198,54449,0,0,47749,0,0,91576,45989,792511,271523,778072,1842106,0
2045,78,76,Slow,Survivor,105775,5586,0,105775,56355,0,0,49420,0,0,95478,47599,824211,291887,772371,1888470,0
2046,79,77,Slow,Survivor,109477,6108,0,109477,58327,0,0,51150,0,0,99516,49265,857180,313779,764494,1935453,0
2047,80,78,Slow,Survivor,113309,6649,0,113309,60368,0,0,52940,0,0,103696,50989,891467,337312,754247,1983026,0
2048,81,79,NoGo,Survivor,99683,2493,0,99683,62481,0,0,37202,0,0,75478,52773,927126,362610,760068,2049804,0
2049,82,80,NoGo,Survivor,103172,2672,0,103172,64668,0,0,38504,0,0,78816,54621,964211,389806,764858,2118875,0
2050,83,81,NoGo,Survivor,106783,2857,0,106783,66932,0,0,39852,0,0,82271,56532,1002779,419042,768507,2190328,0
2051,84,82,NoGo,Survivor,110521,3048,0,110521,69274,0,0,41246,0,0,85847,58511,1042890,450470,770896,2264256,0
2052,85,83,NoGo,Survivor,114389,3247,0,114389,71699,0,0,42690,0,0,89549,60559,1084606,484255,771898,2340759,0
2053,86,84,NoGo,Survivor,118392,3452,0,118392,74208,0,0,44184,0,0,93379,62678,1127990,520574,771377,2419941,0
2054,87,85,NoGo,Survivor,122536,3665,0,122536,76805,0,0,45731,0,0,97344,64872,1173110,559617,769185,2501912,0
