Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2025,58,56,GoGo,Joint,30000,1100,0,30000,0,30000,0,0,42500,0,42500,31500,483600,168238,1046750,1698588,0
2026,59,57,GoGo,Joint,31050,1139,0,31050,0,31050,0,0,43988,0,43988,32602,470652,228142,1062928,1761722,0
2027,60,58,GoGo,Joint,32137,1178,0,32137,0,32137,0,0,45527,0,45527,33744,456056,294194,1078445,1828695,0
2028,61,59,GoGo,Joint,33262,1220,0,33262,0,33262,0,0,47121,0,47121,34925,439706,366913,1093204,1899824,0
2029,62,60,GoGo,Joint,34426,4366,0,34426,32500,1926,0,0,48770,0,76395,36147,455292,446859,1107101,2009251,0
2030,63,61,Slow,Joint,35631,4535,0,35631,33638,1993,0,0,50477,0,79069,37412,471430,534636,1120021,2126088,0
2031,64,62,Slow,Joint,36878,5424,0,36878,41815,0,0,0,52243,0,87786,38722,490288,630895,1131845,2253028,0
2032,65,63,Slow,Joint,38168,0,0,38168,43278,0,0,0,0,0,0,40077,509899,678212,1199755,2387867,0
2033,66,64,Slow,Joint,39504,0,0,39504,44793,0,0,0,0,0,0,41479,530295,729078,1271741,2531114,0
2034,67,65,Slow,Joint,40887,0,0,40887,46361,0,0,0,0,0,0,42931,551507,783759,1348045,2683311,0
2035,68,66,Slow,Joint,42318,0,0,42318,47983,0,0,0,0,0,0,44434,573567,842541,1428928,2845036,0
2036,69,67,Slow,Joint,43799,0,0,43799,49663,0,0,0,0,0,0,45989,596510,905732,1514663,3016905,0
2037,70,68,Slow,Joint,45332,0,0,45332,51401,0,0,0,0,0,0,47599,620370,973662,1605543,3199575,0
2038,71,69,Slow,Joint,46919,0,0,46919,53200,0,0,0,0,0,0,49265,645185,1046686,1701876,3393747,0
2039,72,70,Slow,Joint,48561,0,0,48561,55062,0,0,0,0,0,0,50989,670993,1125188,1803988,3600169,0
2040,73,71,NoGo,Joint,50260,7185,0,50260,56989,0,0,0,0,68075,116516,52773,768630,1209577,1840068,3818275,0
2041,74,72,NoGo,Joint,52020,7657,0,52020,58984,0,0,0,0,72160,122296,54621,874421,1300295,1873983,4048700,0
2042,75,73,NoGo,Joint,53840,8120,0,53840,61048,0,0,0,0,76178,128069,56532,988624,1397817,1905673,4292114,0
2043,76,74,NoGo,Survivor,39007,0,0,39007,52608,0,0,0,0,0,1304,58511,1028169,1502654,2020014,4550836,0
2044,77,75,NoGo,Survivor,40373,0,0,40373,54449,0,0,0,0,0,2224,60559,1069295,1615353,2141215,4825862,0
2045,78,76,NoGo,Survivor,41786,0,0,41786,56355,0,0,0,0,0,3177,62678,1112067,1736504,2269687,5118259,0
2046,79,77,NoGo,Survivor,43248,0,0,43248,58327,0,0,0,0,0,4163,64872,1156550,1866742,2405869,5429160,0
2047,80,78,NoGo,Survivor,44762,0,0,44762,60368,0,0,0,0,0,5184,67143,1202812,2006748,2550221,5759780,0
2048,81,79,NoGo,Survivor,46328,0,0,46328,62481,0,0,0,0,0,6241,69493,1250924,2157254,2703234,6111412,0
2049,82,80,NoGo,Survivor,47950,0,0,47950,64668,0,0,0,0,0,7334,71925,1300961,2319048,2865428,6485437,0
2050,83,81,NoGo,Survivor,49628,0,0,49628,66932,0,0,0,0,0,8466,74442,1353000,2492976,3037354,6883330,0
2051,84,82,NoGo,Survivor,51365,0,0,51365,69274,0,0,0,0,0,9542,77048,1407120,2679949,3219595,7306664,0
2052,85,83,NoGo,Survivor,53163,0,0,53163,71699,0,0,0,0,0,10572,79744,1463404,2880946,3412771,7757121,0
2053,86,84,NoGo,Survivor,55024,0,0,55024,74208,0,0,0,0,0,11638,82535,1521941,3097017,3617537,8236494,0
2054,87,85,NoGo,Survivor,56949,0,0,56949,76805,0,0,0,0,0,12742,85424,1582818,3329293,3834589,8746700,0
