Year,Person1_Age,Person2_Age,Filing,Lifestyle,Total_Spend,Taxes_Due,Cash_Events,Target_Spend,Social_Security,IRA_Draw,Brokerage_Draw,Roth_Draw,Roth_Conversion,RMD,MAGI,Std_Deduction,IRA_Balance,Brokerage_Balance,Roth_Balance,Total_Assets,Shortfall
2025,58,56,MFJ,GoGo,120000,5956,0,114044,0,0,120000,0,42500,0,85000,31500,1046750,390000,158025,1594775,0
2026,59,57,MFJ,GoGo,124200,6181,0,118019,0,0,124200,0,43988,0,87975,32603,1062928,276432,217163,1556524,0
2027,60,58,MFJ,GoGo,128547,6413,0,122134,0,0,128547,0,45527,0,91054,33744,1078445,153800,282392,1514638,0
2028,61,59,MFJ,GoGo,133046,6654,0,126392,0,0,133046,0,47121,0,94241,34925,1093204,21584,354226,1469015,0
2029,62,60,MFJ,GoGo,137703,10218,0,127485,32500,0,21584,83618,48770,0,125164,36147,1107101,0,343331,1450432,0
2030,63,61,MFJ,GoGo,142522,10592,0,131930,33638,0,0,108885,50477,0,129545,37412,1120021,0,306292,1426313,0
2031,64,62,MFJ,GoGo,147511,12394,0,135117,41815,0,0,105696,52243,0,140029,38722,1131845,0,271802,1403647,0
2032,65,63,MFJ,GoGo,152674,0,0,152674,43278,0,0,109395,0,0,0,40077,1199755,0,174588,1374343,0
2033,66,64,MFJ,GoGo,158017,0,0,158017,44793,0,0,113224,0,0,0,41479,1271741,0,65966,1337707,0
2034,67,65,MFJ,GoGo,163548,5072,0,158476,46361,51221,0,65966,0,0,89062,42931,1293751,0,0,1293751,0
2035,68,66,MFJ,Slow,141060,10267,0,130792,47983,93076,0,0,0,0,133862,44434,1272715,0,0,1272715,0
2036,69,67,MFJ,Slow,145997,10643,0,135354,49663,96334,0,0,0,0,138548,45989,1246964,0,0,1246964,0
2037,70,68,MFJ,Slow,151107,11182,0,139925,51401,99706,0,0,0,0,143397,47599,1216094,0,0,1216094,0
2038,71,69,MFJ,Slow,156396,11919,0,144476,53200,103195,0,0,0,0,148416,49265,1179672,0,0,1179672,0
2039,72,70,MFJ,Slow,161869,12683,0,149187,55062,106807,0,0,0,0,153610,50989,1137237,0,0,1137237,0
2040,73,71,MFJ,Slow,167535,13473,0,154062,56989,67631,0,0,0,42915,158986,52773,1088293,0,0,1088293,0
2041,74,72,MFJ,NoGo,138719,8566,0,130153,58984,37057,0,0,0,42678,129871,54621,1069071,0,0,1069071,0
2042,75,73,MFJ,NoGo,143574,8882,0,134692,61048,39068,0,0,0,43458,134417,56532,1045738,0,0,1045738,0
2043,76,74,Single,NoGo,104019,4282,0,99737,52608,51412,0,0,0,0,96128,58511,1053986,0,0,1053986,0
2044,77,75,Single,NoGo,107660,4440,0,103220,54449,53211,0,0,0,0,99493,60559,1060821,0,0,1060821,0
2045,78,76,Single,NoGo,111428,4604,0,106825,56355,55074,0,0,0,0,102975,62678,1066092,0,0,1066092,0
2046,79,77,Single,NoGo,115328,4773,0,110555,58327,57001,0,0,0,0,106579,64872,1069637,0,0,1069637,0
2047,80,78,Single,NoGo,119365,4948,0,114417,60368,58996,0,0,0,0,110309,67143,1071279,0,0,1071279,0
2048,81,79,Single,NoGo,123542,5129,0,118413,62481,61061,0,0,0,0,114170,69493,1070831,0,0,1070831,0
2049,82,80,Single,NoGo,127866,5317,0,122549,64668,63198,0,0,0,0,118166,71925,1068090,0,0,1068090,0
2050,83,81,Single,NoGo,132342,5582,0,126760,66932,65410,0,0,0,0,122302,74442,1062841,0,0,1062841,0
2051,84,82,Single,NoGo,136974,5951,0,131023,69274,67700,0,0,0,0,126583,77048,1054850,0,0,1054850,0
2052,85,83,Single,NoGo,141768,6332,0,135436,71699,70069,0,0,0,0,131013,79744,1043868,0,0,1043868,0
2053,86,84,Single,NoGo,146730,6727,0,140003,74208,72521,0,0,0,0,135598,82535,1029627,0,0,1029627,0
2054,87,85,Single,NoGo,151865,7135,0,144730,76805,75060,0,0,0,0,140344,85424,1011841,0,0,1011841,0
