Year,Person1_Age,Person2_Age,Filing,Lifestyle,Total_Spend,Taxes_Due,Cash_Events,Base_Spend,Social_Security,IRA_Draw,Brokerage_Draw,Roth_Draw,Roth_Conversion,RMD,MAGI,Std_Deduction,IRA_Balance,Brokerage_Balance,Roth_Balance,Total_Assets,Shortfall
2025,58,56,MFJ,GoGo,40000,0,-40000,80000,0,0,80000,0,0,0,0,0,1102100,390000,111300,1603400,0
2026,59,57,MFJ,GoGo,124200,21642,0,102558,0,0,124200,0,87975,0,175950,32603,1085114,276432,211232,1572777,0
2027,60,58,MFJ,GoGo,128547,22746,0,105801,0,0,128547,0,91054,0,182108,33744,1063644,153800,320423,1537867,0
2028,61,59,MFJ,GoGo,133046,23889,0,109158,0,0,133046,0,94241,0,188482,34925,1037261,21584,439544,1498389,0
2029,62,60,MFJ,GoGo,137703,25071,0,112632,0,0,21584,116118,97539,0,195079,36147,1005502,0,446223,1451725,0
2030,63,61,MFJ,GoGo,142522,26295,0,116228,0,0,0,142522,100953,0,201907,37412,967867,0,428933,1396800,0
2031,64,62,MFJ,GoGo,147511,27561,0,119949,0,0,0,147511,104487,0,208973,38722,923817,0,409063,1332880,0
2032,65,63,MFJ,GoGo,152674,0,0,152674,0,0,0,152674,0,0,0,40077,988484,0,271773,1260257,0
2033,66,64,MFJ,GoGo,158017,0,0,158017,0,0,0,158017,0,0,0,41479,1057678,0,120582,1178260,0
2034,67,65,MFJ,GoGo,163548,3,0,163544,0,42966,0,120582,0,0,42966,42931,1085742,0,0,1085742,0
2035,68,66,MFJ,Slow,141060,11364,0,129696,0,141060,0,0,0,0,141060,44434,1010810,0,0,1010810,0
2036,69,67,MFJ,Slow,145997,12108,0,133889,0,145997,0,0,0,0,145997,45989,925350,0,0,925350,0
2037,70,68,MFJ,Slow,151107,11558,0,139549,40000,111107,0,0,0,0,145107,47599,871240,0,0,871240,0
2038,71,69,MFJ,Slow,156396,12309,0,144087,41400,114996,0,0,0,0,150186,49265,809181,0,0,809181,0
2039,72,70,MFJ,Slow,161869,12096,0,149774,72849,89020,0,0,0,0,150942,50989,770572,0,0,770572,0
2040,73,71,MFJ,Slow,167535,12865,0,154670,75399,63058,0,0,0,29078,156225,52773,725926,0,0,725926,0
2041,74,72,MFJ,NoGo,138719,7385,0,131334,78038,32214,0,0,0,28468,120026,54621,711812,0,0,711812,0
2042,75,73,MFJ,NoGo,143574,7766,0,135808,80769,33870,0,0,0,28935,125116,56532,694438,0,0,694438,0
2043,76,74,Single,NoGo,104019,4344,0,99675,49170,54849,0,0,0,0,96644,58511,684360,0,0,684360,0
2044,77,75,Single,NoGo,107660,4504,0,103156,50891,56769,0,0,0,0,100026,60559,671522,0,0,671522,0
2045,78,76,Single,NoGo,111428,4670,0,106758,52672,58756,0,0,0,0,103527,62678,655660,0,0,655660,0
2046,79,77,Single,NoGo,115328,4841,0,110487,54516,60812,0,0,0,0,107151,64872,636487,0,0,636487,0
2047,80,78,Single,NoGo,119365,5019,0,114346,56424,62941,0,0,0,0,110901,67143,613695,0,0,613695,0
2048,81,79,Single,NoGo,123542,5203,0,118340,58399,65144,0,0,0,0,114783,69493,586950,0,0,586950,0
2049,82,80,Single,NoGo,127866,5393,0,122473,60443,67424,0,0,0,0,118800,71925,555893,0,0,555893,0
2050,83,81,Single,NoGo,132342,5726,0,126615,62558,69783,0,0,0,0,122958,74442,520137,0,0,520137,0
2051,84,82,Single,NoGo,136974,6100,0,130874,64748,72226,0,0,0,0,127262,77048,479265,0,0,479265,0
2052,85,83,Single,NoGo,141768,6487,0,135281,67014,74754,0,0,0,0,131716,79744,432827,0,0,432827,0
2053,86,84,Single,NoGo,146730,6887,0,139843,69359,77370,0,0,0,0,136326,82535,380339,0,0,380339,0
2054,87,85,Single,NoGo,151865,7301,0,144564,71787,80078,0,0,0,0,141097,85424,321279,0,0,321279,0
