Year,Person1_Age,Person2_Age,Filing,Lifestyle,Total_Spend,Taxes_Due,Cash_Events,Base_Spend,Social_Security,IRA_Draw,Brokerage_Draw,Roth_Draw,Roth_Conversion,RMD,MAGI,Std_Deduction,IRA_Balance,Brokerage_Balance,Roth_Balance,Total_Assets,Shortfall
2025,58,56,MFJ,GoGo,120000,10156,0,109844,0,120000,0,0,0,0,120000,31500,964600,514800,112338,1591738,0
2026,59,57,MFJ,GoGo,124200,10528,0,113672,0,124200,0,0,0,0,124200,32603,890824,535392,120763,1546979,0
2027,60,58,MFJ,GoGo,128547,10963,0,117584,0,128547,0,0,0,0,128547,33744,808014,556808,129820,1494641,0
2028,61,59,MFJ,GoGo,133046,11693,0,121353,0,133046,0,0,0,0,133046,34925,715466,579080,139557,1434102,0
2029,62,60,MFJ,GoGo,137703,11376,0,126327,32500,105203,0,0,0,0,132828,36147,646879,602243,150023,1399145,0
2030,63,61,MFJ,GoGo,142522,12120,0,130402,33638,108885,0,0,0,0,137477,37412,570273,626333,161275,1357881,0
2031,64,62,MFJ,GoGo,147511,12660,0,134851,41815,105696,0,0,0,0,141238,38722,492452,651386,173371,1317209,0
2032,65,63,MFJ,GoGo,152674,13449,0,139224,43278,109395,0,0,0,0,146182,40077,406040,677442,186373,1269855,0
2033,66,64,MFJ,GoGo,158017,14266,0,143751,44793,113224,0,0,0,0,151298,41479,310385,704539,200351,1215276,0
2034,67,65,MFJ,GoGo,163548,15112,0,148436,46361,117187,0,0,0,0,156594,42931,204790,732721,215378,1152889,0
2035,68,66,MFJ,Slow,141060,10267,0,130792,47983,93076,0,0,0,0,133862,44434,118417,762030,231531,1111978,0
2036,69,67,MFJ,Slow,145997,10643,0,135354,49663,96334,0,0,0,0,138548,45989,23408,792511,248896,1064815,0
2037,70,68,MFJ,Slow,151107,0,0,151107,51401,23408,76298,0,0,0,39750,47599,0,744861,267563,1012425,0
2038,71,69,MFJ,Slow,156396,0,0,156396,53200,0,103195,0,0,0,0,49265,0,667332,287630,954963,0
2039,72,70,MFJ,Slow,161869,0,0,161869,55062,0,106807,0,0,0,0,50989,0,582946,309203,892149,0
2040,73,71,MFJ,Slow,167535,0,0,167535,56989,0,110546,0,0,0,0,52773,0,491297,332393,823689,0
2041,74,72,MFJ,NoGo,138719,0,0,138719,58984,0,79735,0,0,0,0,54621,0,428024,357322,785346,0
2042,75,73,MFJ,NoGo,143574,0,0,143574,61048,0,82526,0,0,0,0,56532,0,359318,384122,743440,0
2043,76,74,Single,NoGo,104019,0,0,104019,52608,0,51412,0,0,0,1304,58511,0,320223,412931,733153,0
2044,77,75,Single,NoGo,107660,0,0,107660,54449,0,53211,0,0,0,2224,60559,0,277692,443900,721592,0
2045,78,76,Single,NoGo,111428,0,0,111428,56355,0,55074,0,0,0,3177,62678,0,231523,477193,708716,0
2046,79,77,Single,NoGo,115328,0,0,115328,58327,0,57001,0,0,0,4163,64872,0,181503,512982,694485,0
2047,80,78,Single,NoGo,119365,0,0,119365,60368,0,58996,0,0,0,5184,67143,0,127407,551456,678863,0
2048,81,79,Single,NoGo,123542,0,0,123542,62481,0,61061,0,0,0,6241,69493,0,69000,592815,661815,0
2049,82,80,Single,NoGo,127866,0,0,127866,64668,0,63198,0,0,0,7334,71925,0,6033,637276,643310,0
2050,83,81,Single,NoGo,132342,0,0,132342,66932,0,6033,59377,0,0,8466,74442,0,0,621242,621242,0
2051,84,82,Single,NoGo,136974,0,0,136974,69274,0,0,67700,0,0,9542,77048,0,0,595058,595058,0
2052,85,83,Single,NoGo,141768,0,0,141768,71699,0,0,70069,0,0,10572,79744,0,0,564363,564363,0
2053,86,84,Single,NoGo,146730,0,0,146730,74208,0,0,72521,0,0,11638,82535,0,0,528730,528730,0
2054,87,85,Single,NoGo,151865,0,0,151865,76805,0,0,75060,0,0,12742,85424,0,0,487696,487696,0
