Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2041,74,72,GoGo,Joint,20000,4683,0,20000,58984,0,0,0,0,40392,74394,31500,556808,122550,1048984,1728342,0
2042,75,73,GoGo,Joint,20700,5156,0,20700,61048,0,0,0,0,42642,79433,32602,623427,131741,1066723,1821892,0
2043,76,74,GoGo,Survivor,14997,0,0,14997,52608,0,0,0,0,0,1304,33744,648365,141622,1130727,1920713,0
2044,77,75,GoGo,Survivor,15522,0,0,15522,54449,0,0,0,0,0,2224,34925,674299,152243,1198570,2025113,0
2045,78,76,GoGo,Survivor,16065,0,0,16065,56355,0,0,0,0,0,3177,36147,701271,163662,1270484,2135417,0
2046,79,77,Slow,Survivor,16628,0,0,16628,58327,0,0,0,0,0,4163,37412,729322,175936,1346714,2251972,0
2047,80,78,Slow,Survivor,17210,0,0,17210,60368,0,0,0,0,0,5184,38722,758495,189132,1427516,2375143,0
2048,81,79,Slow,Survivor,17812,0,0,17812,62481,0,0,0,0,0,6241,40077,788835,203316,1513167,2505318,0
2049,82,80,Slow,Survivor,18435,0,0,18435,64668,0,0,0,0,0,7334,41479,820388,218565,1603957,2642911,0
2050,83,81,Slow,Survivor,19081,0,0,19081,66932,0,0,0,0,0,8466,42931,853204,234958,1700195,2788356,0
2051,84,82,Slow,Survivor,19748,0,0,19748,69274,0,0,0,0,0,9542,44434,887332,252579,1802206,2942118,0
2052,85,83,Slow,Survivor,20440,0,0,20440,71699,0,0,0,0,0,10572,45989,922825,271523,1910339,3104687,0
2053,86,84,Slow,Survivor,21155,0,0,21155,74208,0,0,0,0,0,11638,47599,959738,291887,2024959,3276584,0
2054,87,85,Slow,Survivor,21895,0,0,21895,76805,0,0,0,0,0,12742,49265,998127,313779,2146457,3458363,0
